CASE: Uin = 0.026455 Ny = 21
X	Y	Z	U	V	W
6.0000000000 -0.4499999881 0.2500000000 0.0372563787 0.0000023116 0.0000627019
6.0000000000 -0.4000000060 0.2500000000 0.0679088905 0.0000131896 0.0000340752
6.0000000000 -0.3499999940 0.2500000000 0.0928668901 0.0000271250 -0.0000079890
6.0000000000 -0.3000000119 0.2500000000 0.1129573584 0.0000374916 -0.0000350217
6.0000000000 -0.2500000000 0.2500000000 0.1288878769 0.0000405473 -0.0000359976
6.0000000000 -0.2000000030 0.2500000000 0.1412256062 0.0000367009 -0.0000176947
6.0000000000 -0.1500000060 0.2500000000 0.1504072845 0.0000287478 0.0000101487
6.0000000000 -0.1000000015 0.2500000000 0.1567514688 0.0000192243 0.0000371165
6.0000000000 -0.0500000007 0.2500000000 0.1604747325 0.0000095627 0.0000563628
6.0000000000 0.0000000000 0.2500000000 0.1617022008 0.0000000170 0.0000632189
6.0000000000 0.0500000007 0.2500000000 0.1604747474 -0.0000095644 0.0000563628
6.0000000000 0.1000000015 0.2500000000 0.1567515135 -0.0000193469 0.0000371267
6.0000000000 0.1500000060 0.2500000000 0.1504072845 -0.0000288075 0.0000101674
6.0000000000 0.2000000030 0.2500000000 0.1412255913 -0.0000367282 -0.0000177134
6.0000000000 0.2500000000 0.2500000000 0.1288878769 -0.0000404945 -0.0000360146
6.0000000000 0.3000000119 0.2500000000 0.1129574105 -0.0000374695 -0.0000350456
6.0000000000 0.3499999940 0.2500000000 0.0928669199 -0.0000271029 -0.0000079566
6.0000000000 0.4000000060 0.2500000000 0.0679088980 -0.0000131521 0.0000341451
6.0000000000 0.4499999881 0.2500000000 0.0372563936 -0.0000023167 0.0000627632
6.0000000000 0.5000000000 0.2500000000 -0.0000000017 0.0000000000 -0.0000000017
6.0000000000 -0.5000000000 0.3000000119 -0.0000000034 0.0000000000 0.0000000017
6.0000000000 -0.4499999881 0.3000000119 0.0334157422 0.0000077386 0.0000480871
6.0000000000 -0.4000000060 0.3000000119 0.0604310594 0.0000265184 0.0000126136
6.0000000000 -0.3499999940 0.3000000119 0.0821076855 0.0000420787 -0.0000253600
6.0000000000 -0.3000000119 0.3000000119 0.0993722826 0.0000460510 -0.0000424041
6.0000000000 -0.2500000000 0.3000000119 0.1129582524 0.0000396890 -0.0000339622
6.0000000000 -0.2000000030 0.3000000119 0.1234298199 0.0000285319 -0.0000104776
6.0000000000 -0.1500000060 0.3000000119 0.1311976761 0.0000172929 0.0000191360
6.0000000000 -0.1000000015 0.3000000119 0.1365541220 0.0000086976 0.0000459783
6.0000000000 -0.0500000007 0.3000000119 0.1396939903 0.0000033813 0.0000644348
6.0000000000 0.0000000000 0.3000000119 0.1407284290 0.0000000102 0.0000709163
6.0000000000 0.0500000007 0.3000000119 0.1396939009 -0.0000033676 0.0000644024
6.0000000000 0.1000000015 0.3000000119 0.1365541667 -0.0000087623 0.0000459783
6.0000000000 0.1500000060 0.3000000119 0.1311976016 -0.0000173798 0.0000191667
6.0000000000 0.2000000030 0.3000000119 0.1234297976 -0.0000285506 -0.0000104452
6.0000000000 0.2500000000 0.3000000119 0.1129581630 -0.0000396839 -0.0000339401
6.0000000000 0.3000000119 0.3000000119 0.0993721932 -0.0000460238 -0.0000424024
6.0000000000 0.3499999940 0.3000000119 0.0821076706 -0.0000420276 -0.0000253293
6.0000000000 0.4000000060 0.3000000119 0.0604311079 -0.0000264758 0.0000126937
6.0000000000 0.4499999881 0.3000000119 0.0334157310 -0.0000077300 0.0000481672
6.0000000000 0.5000000000 0.3000000119 0.0000000000 0.0000000000 -0.0000000034
6.0000000000 -0.5000000000 0.3499999940 0.0000000051 0.0000000000 0.0000000034
6.0000000000 -0.4499999881 0.3499999940 0.0284318440 0.0000109458 0.0000260698
6.0000000000 -0.4000000060 0.3499999940 0.0507718287 0.0000300114 -0.0000105386
6.0000000000 -0.3499999940 0.3499999940 0.0683286339 0.0000372884 -0.0000348764
6.0000000000 -0.3000000119 0.3499999940 0.0821081847 0.0000288911 -0.0000395492
6.0000000000 -0.2500000000 0.3499999940 0.0928680971 0.0000125592 -0.0000246244
6.0000000000 -0.2000000030 0.3499999940 0.1011173874 -0.0000028413 -0.0000012503
6.0000000000 -0.1500000060 0.3499999940 0.1072171256 -0.0000120313 0.0000243625
6.0000000000 -0.1000000015 0.3499999940 0.1114147380 -0.0000136871 0.0000465516
6.0000000000 -0.0500000007 0.3499999940 0.1138722822 -0.0000086654 0.0000612916
6.0000000000 0.0000000000 0.3499999940 0.1146815568 0.0000000170 0.0000663969
6.0000000000 0.0500000007 0.3499999940 0.1138722599 0.0000086433 0.0000612729
6.0000000000 0.1000000015 0.3499999940 0.1114147082 0.0000135986 0.0000465414
6.0000000000 0.1500000060 0.3499999940 0.1072170958 0.0000119922 0.0000243983
6.0000000000 0.2000000030 0.3499999940 0.1011173353 0.0000027987 -0.0000012265
6.0000000000 0.2500000000 0.3499999940 0.0928680673 -0.0000125677 -0.0000246125
6.0000000000 0.3000000119 0.3499999940 0.0821081772 -0.0000288724 -0.0000395032
6.0000000000 0.3499999940 0.3499999940 0.0683286414 -0.0000372697 -0.0000348815
6.0000000000 0.4000000060 0.3499999940 0.0507718585 -0.0000300080 -0.0000105829
6.0000000000 0.4499999881 0.3499999940 0.0284318812 -0.0000109900 0.0000260545
6.0000000000 0.5000000000 0.3499999940 0.0000000000 0.0000000000 -0.0000000017
6.0000000000 -0.5000000000 0.4000000060 -0.0000000034 0.0000000000 -0.0000000034
6.0000000000 -0.4499999881 0.4000000060 0.0219164994 0.0000137285 0.0000041969
6.0000000000 -0.4000000060 0.4000000060 0.0383211449 0.0000237799 -0.0000226762
6.0000000000 -0.3499999940 0.4000000060 0.0507720932 0.0000126236 -0.0000287066
6.0000000000 -0.3000000119 0.4000000060 0.0604317114 -0.0000095509 -0.0000251370
6.0000000000 -0.2500000000 0.4000000060 0.0679101571 -0.0000301165 -0.0000118269
6.0000000000 -0.2000000030 0.4000000060 0.0736188591 -0.0000431312 0.0000051529
6.0000000000 -0.1500000060 0.4000000060 0.0778273568 -0.0000457243 0.0000216186
6.0000000000 -0.1000000015 0.4000000060 0.0807183534 -0.0000375070 0.0000351239
6.0000000000 -0.0500000007 0.4000000060 0.0824091509 -0.0000209391 0.0000440178
6.0000000000 0.0000000000 0.4000000060 0.0829656571 -0.0000000136 0.0000470501
6.0000000000 0.0500000007 0.4000000060 0.0824090689 0.0000209340 0.0000439736
6.0000000000 0.1000000015 0.4000000060 0.0807183236 0.0000375036 0.0000350898
6.0000000000 0.1500000060 0.4000000060 0.0778273270 0.0000456715 0.0000215760
6.0000000000 0.2000000030 0.4000000060 0.0736188143 0.0000431023 0.0000051103
6.0000000000 0.2500000000 0.4000000060 0.0679101571 0.0000300978 -0.0000118217
6.0000000000 0.3000000119 0.4000000060 0.0604317002 0.0000095203 -0.0000251251
6.0000000000 0.3499999940 0.4000000060 0.0507720523 -0.0000126474 -0.0000287424
6.0000000000 0.4000000060 0.4000000060 0.0383211151 -0.0000237237 -0.0000226983
6.0000000000 0.4499999881 0.4000000060 0.0219165273 -0.0000136962 0.0000041169
6.0000000000 0.5000000000 0.4000000060 0.0000000017 0.0000000000 0.0000000034
6.0000000000 -0.5000000000 0.4499999881 0.0000000017 -0.0000000017 -0.0000000017
6.0000000000 -0.4499999881 0.4499999881 0.0132396016 0.0000038970 -0.0000037471
6.0000000000 -0.4000000060 0.4499999881 0.0219165813 -0.0000035769 -0.0000133981
6.0000000000 -0.3499999940 0.4499999881 0.0284320191 -0.0000248349 -0.0000105778
6.0000000000 -0.3000000119 0.4499999881 0.0334161669 -0.0000461282 -0.0000073706
6.0000000000 -0.2500000000 0.4499999881 0.0372571386 -0.0000600548 -0.0000019709
6.0000000000 -0.2000000030 0.4499999881 0.0401785523 -0.0000648424 0.0000046607
6.0000000000 -0.1500000060 0.4499999881 0.0423280895 -0.0000596542 0.0000102839
6.0000000000 -0.1000000015 0.4499999881 0.0438026711 -0.0000453044 0.0000146517
6.0000000000 -0.0500000007 0.4499999881 0.0446644425 -0.0000243481 0.0000175716
6.0000000000 0.0000000000 0.4499999881 0.0449480005 -0.0000000187 0.0000185409
6.0000000000 0.0500000007 0.4499999881 0.0446643941 0.0000243191 0.0000175256
6.0000000000 0.1000000015 0.4499999881 0.0438026786 0.0000452754 0.0000145870
6.0000000000 0.1500000060 0.4499999881 0.0423281044 0.0000596133 0.0000101800
6.0000000000 0.2000000030 0.4499999881 0.0401785299 0.0000648679 0.0000046215
6.0000000000 0.2500000000 0.4499999881 0.0372571871 0.0000600888 -0.0000019709
6.0000000000 0.3000000119 0.4499999881 0.0334161669 0.0000461094 -0.0000073791
6.0000000000 0.3499999940 0.4499999881 0.0284320079 0.0000248230 -0.0000105659
6.0000000000 0.4000000060 0.4499999881 0.0219165459 0.0000035940 -0.0000133930
6.0000000000 0.4499999881 0.4499999881 0.0132395877 -0.0000039396 -0.0000037812
6.0000000000 0.5000000000 0.4499999881 0.0000000068 0.0000000000 -0.0000000034
6.0000000000 -0.5000000000 0.5000000000 0.0000000000 -0.0000000017 0.0000000017
6.0000000000 -0.4499999881 0.5000000000 0.0000000000 -0.0000000017 -0.0000000017
6.0000000000 -0.4000000060 0.5000000000 -0.0000000068 0.0000000068 0.0000000000
6.0000000000 -0.3499999940 0.5000000000 -0.0000000034 -0.0000000017 0.0000000000
6.0000000000 -0.3000000119 0.5000000000 -0.0000000034 0.0000000017 -0.0000000017
6.0000000000 -0.2500000000 0.5000000000 0.0000000068 -0.0000000068 -0.0000000017
6.0000000000 -0.2000000030 0.5000000000 0.0000000000 0.0000000051 0.0000000000
6.0000000000 -0.1500000060 0.5000000000 -0.0000000102 0.0000000034 -0.0000000017
6.0000000000 -0.1000000015 0.5000000000 0.0000000000 -0.0000000068 -0.0000000051
6.0000000000 -0.0500000007 0.5000000000 -0.0000000034 0.0000000034 0.0000000017
6.0000000000 0.0000000000 0.5000000000 0.0000000068 0.0000000068 -0.0000000017
6.0000000000 0.0500000007 0.5000000000 0.0000000102 0.0000000000 0.0000000000
6.0000000000 0.1000000015 0.5000000000 -0.0000000034 -0.0000000051 0.0000000017
6.0000000000 0.1500000060 0.5000000000 0.0000000000 0.0000000034 0.0000000017
6.0000000000 0.2000000030 0.5000000000 0.0000000000 0.0000000000 0.0000000000
6.0000000000 0.2500000000 0.5000000000 -0.0000000034 0.0000000034 0.0000000000
6.0000000000 0.3000000119 0.5000000000 0.0000000000 0.0000000034 0.0000000000
6.0000000000 0.3499999940 0.5000000000 -0.0000000034 -0.0000000017 0.0000000000
6.0000000000 0.4000000060 0.5000000000 0.0000000034 -0.0000000051 0.0000000000
6.0000000000 0.4499999881 0.5000000000 0.0000000000 0.0000000085 -0.0000000034
6.0000000000 0.5000000000 0.5000000000 0.0000000034 0.0000000000 0.0000000017
